timestamp,open,high,low,close,volume,trade_count,vwap
2025-06-29 00:00:00+00:00,2437.922,2443.265,2433.155,2439.935,0.0,0.0,2437.922
2025-06-29 01:00:00+00:00,2439.71,2439.71,2430.09,2430.587,0.0,0.0,2439.71
2025-06-29 02:00:00+00:00,2430.616,2434.85,2426.4755,2432.9235,0.00421827,1.0,2433.392
2025-06-29 03:00:00+00:00,2432.75,2433.845,2426.6,2428.94,0.004207724,1.0,2426.6
2025-06-29 04:00:00+00:00,2427.5,2433.36,2427.5,2430.718,0.075287749,3.0,2430.109445
2025-06-29 05:00:00+00:00,2431.1,2435.6,2428.3785,2435.045,0.793856117,1.0,2432.9
2025-06-29 06:00:00+00:00,2435.4385,2438.425,2433.2945,2438.425,0.0,0.0,2435.42975
2025-06-29 07:00:00+00:00,2437.85,2441.51,2436.997,2441.082,0.004447283,2.0,2440.352574
2025-06-29 08:00:00+00:00,2442.928,2448.135,2438.7625,2444.35,0.004014193,2.0,2442.313846
2025-06-29 09:00:00+00:00,2445.7,2458.525,2440.3,2448.0,0.098072754,4.0,2452.079483
2025-06-29 10:00:00+00:00,2449.578,2459.4775,2448.6,2457.415,0.103995722,3.0,2453.994406
2025-06-29 11:00:00+00:00,2459.13,2463.8,2453.805,2462.7205,0.003988065,2.0,2458.31473
2025-06-29 12:00:00+00:00,2463.5365,2465.23,2450.0,2455.75,0.097185544,3.0,2450.499964
2025-06-29 13:00:00+00:00,2456.2625,2457.68,2447.6,2448.16,0.008476841,3.0,2457.203583
2025-06-29 14:00:00+00:00,2447.625,2452.342,2437.5,2441.43,0.020968191,2.0,2447.456959
2025-06-29 15:00:00+00:00,2440.6,2445.25,2435.2745,2438.221,0.052199236,1.0,2438.2
2025-06-29 16:00:00+00:00,2439.8,2441.266,2431.081,2439.885,0.519790275,2.0,2436.779551
2025-06-29 17:00:00+00:00,2441.228,2441.228,2433.43,2439.1,0.057608237,1.0,2435.83
2025-06-29 18:00:00+00:00,2437.965,2444.2,2434.779,2438.665,0.963584025,5.0,2442.045064
2025-06-29 19:00:00+00:00,2438.4265,2439.675,2434.7925,2439.035,0.075879349,6.0,2438.252411
2025-06-29 20:00:00+00:00,2439.795,2439.795,2433.3795,2433.4545,0.619817079,2.0,2436.238633
2025-06-29 21:00:00+00:00,2434.49,2438.9805,2413.9,2432.595,0.08,1.0,2431.55
2025-06-29 22:00:00+00:00,2432.945,2510.145,2432.945,2502.155,0.283857777,6.0,2472.186333
2025-06-29 23:00:00+00:00,2503.4,2524.8325,2495.945,2501.627,1.231779247,2.0,2515.339359
2025-06-30 00:00:00+00:00,2502.6745,2523.685,2501.053,2519.225,0.0,0.0,2503.92825
2025-06-30 01:00:00+00:00,2520.203,2520.395,2505.5,2511.777,0.007980409,2.0,2512.985884
2025-06-30 02:00:00+00:00,2511.0405,2512.295,2501.025,2502.2735,1.927125685,2.0,2510.758564
2025-06-30 03:00:00+00:00,2502.516,2505.3025,2496.55,2500.96,0.515805121,3.0,2496.779407
2025-06-30 04:00:00+00:00,2499.75,2505.8455,2496.775,2497.055,2.141856601,5.0,2499.278422
2025-06-30 05:00:00+00:00,2495.92,2503.9345,2495.1975,2503.798,5.282756393,5.0,2496.786522
2025-06-30 06:00:00+00:00,2502.05,2504.215,2457.842,2466.0,0.909432805,4.0,2468.825787
2025-06-30 07:00:00+00:00,2464.71,2483.2165,2461.9195,2481.831,0.024028532,2.0,2465.476879
2025-06-30 08:00:00+00:00,2483.1795,2486.11,2467.469,2468.85,0.004068335,1.0,2470.9
2025-06-30 09:00:00+00:00,2470.7275,2476.924,2452.7975,2452.7975,0.382128413,9.0,2467.675827
2025-06-30 10:00:00+00:00,2451.775,2459.22,2447.2555,2456.999,0.218824706,5.0,2453.572209
2025-06-30 11:00:00+00:00,2455.682,2468.8015,2453.7535,2459.09,1.528925679,3.0,2465.55142
2025-06-30 12:00:00+00:00,2457.19,2465.562,2457.19,2460.416,1.52025,2.0,2457.205929
2025-06-30 13:00:00+00:00,2460.95,2475.916,2459.8,2461.985,0.119223327,8.0,2470.584327
2025-06-30 14:00:00+00:00,2463.295,2469.7,2435.775,2438.0,1.122180153,12.0,2461.785756
2025-06-30 15:00:00+00:00,2439.723,2488.025,2436.429,2475.33,4.282204184,19.0,2472.520596
2025-06-30 16:00:00+00:00,2475.981,2482.91,2462.655,2476.5,1.721447799,5.0,2477.068376
2025-06-30 17:00:00+00:00,2477.9,2497.5785,2474.931,2489.385,1.372918575,25.0,2486.277992
2025-06-30 18:00:00+00:00,2489.6065,2498.5392143125,2479.97,2486.413,14.779426711,4.0,2484.866134
2025-06-30 19:00:00+00:00,2487.856,2516.025,2486.161,2515.855,3.758217145,60.0,2511.230302
